Superficie construida,Habitaciones,Baños,Estado,Armarios empotrados,Calefacción,Distrito,Precio,Terraza_Balcon
95.0,3.0,2.0,1.0,1.0,0.0,12.0,210000.0,1.0
117.0,3.0,2.0,1.0,1.0,6.0,14.0,498000.0,1.0
74.0,2.0,2.0,1.0,1.0,2.0,9.0,336000.0,1.0
119.0,4.0,2.0,1.0,1.0,4.0,4.0,240000.0,1.0
91.0,2.0,2.0,1.0,1.0,4.0,4.0,365000.0,2.0
201.0,4.0,3.0,1.0,1.0,4.0,3.0,850000.0,2.0
155.0,4.0,2.0,1.0,1.0,7.0,7.0,450000.0,0.0
192.0,4.0,2.0,1.0,1.0,6.0,7.0,480000.0,3.0
212.0,4.0,3.0,1.0,1.0,4.0,5.0,1200000.0,1.0
365.0,5.0,4.0,1.0,1.0,6.0,5.0,1350000.0,1.0
210.0,4.0,4.0,1.0,1.0,1.0,5.0,1350000.0,2.0
197.0,5.0,2.0,0.0,1.0,0.0,5.0,550000.0,2.0
198.0,4.0,3.0,1.0,1.0,6.0,14.0,990000.0,3.0
144.0,2.0,2.0,1.0,1.0,6.0,9.0,1100000.0,2.0
142.0,3.0,2.0,0.0,1.0,1.0,5.0,590000.0,3.0
267.0,6.0,3.0,1.0,1.0,6.0,9.0,1700000.0,1.0
81.0,3.0,2.0,1.0,1.0,7.0,7.0,240000.0,1.0
140.0,4.0,2.0,1.0,1.0,6.0,10.0,249999.0,1.0
234.0,4.0,3.0,1.0,1.0,4.0,7.0,589000.0,0.0
99.0,3.0,2.0,0.0,0.0,0.0,9.0,490000.0,0.0
109.0,3.0,2.0,1.0,1.0,7.0,7.0,350000.0,0.0
200.0,5.0,3.0,1.0,0.0,4.0,12.0,700000.0,2.0
379.0,3.0,3.0,1.0,1.0,4.0,7.0,690000.0,2.0
118.0,4.0,2.0,1.0,0.0,7.0,3.0,235000.0,2.0
231.0,3.0,3.0,1.0,0.0,0.0,5.0,1400000.0,1.0
228.0,5.0,2.0,1.0,1.0,0.0,9.0,1250000.0,3.0
